Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,,,,,,,
1,tt0877057,2016-03-17,2016-03-17,,Death Note,https://www.imdb.com/title/tt0877057/,tvSeries,9,24,2006,"Animation, Crime, Drama, Fantasy, Mystery, Thriller",271241,2006-10-03,,,
2,tt0994314,2016-03-17,2016-03-17,,Code Geass,https://www.imdb.com/title/tt0994314/,tvSeries,8.7,24,2006,"Animation, Action, Drama, Sci-Fi, Thriller",57971,2006-10-05,,,,
3,tt3431758,2016-03-17,2016-03-17,,No Game No Life, No Life",https://www.imdb.com/title/tt3431758/,tvMiniSeries,7.8,23,2014,"Animation, Adventure, Comedy, Fantasy",13685,2014-04-09,,,,
4,tt2560140,2016-03-17,2016-03-17,,Shingeki no kyojin,https://www.imdb.com/title/tt2560140/,tvSeries,9,24,2013,"Animation, Action, Adventure, Drama, Fantasy, Horror",253826,2013-04-07,,,
5,tt2069441,2016-03-17,2016-03-17,,Mirai nikki,https://www.imdb.com/title/tt2069441/,tvSeries,7.6,25,2011,"Animation, Action, Drama, Romance, Thriller",15688,2011-10-09,,,,
6,tt0995941,2016-03-17,2016-03-17,,Darker Than Black,https://www.imdb.com/title/tt0995941/,tvSeries,7.7,24,2007,"Animation, Action, Drama, Fantasy, Horror, Mystery, Sci-Fi, Thriller",11423,2007-04-05,
7,tt1355642,2016-03-17,2016-03-17,,Hagane no renkinjutsushi,https://www.imdb.com/title/tt1355642/,tvSeries,9.1,24,2009,"Animation, Action, Adventure, Comedy, Drama, Fantasy, Sci-Fi",139723,2009-04-05,,
8,tt3544556,2016-03-17,2016-03-17,,Aldnoah.Zero,https://www.imdb.com/title/tt3544556/,tvSeries,7.2,25,2014,"Animation, Action, Adventure, Drama, Romance, Sci-Fi, Thriller, War",2103,2014-07-05,
9,tt3358020,2016-03-17,2016-03-17,,Kiseij,https://www.imdb.com/title/tt3358020/,tvSeries,8.3,22,2014,"Animation, Action, Horror, Sci-Fi, Thriller",30646,2014-10-08,,,,
10,tt1910272,2016-03-17,2016-03-17,,Steins Gate,Gate,https://www.imdb.com/title/tt1910272/,tvSeries,8.8,24,2011,"Animation, Comedy, Drama, Romance, Sci-Fi, Thriller",51849,2011-03-06,,
11,tt1639109,2016-03-17,2016-03-17,,Angel Beats!,https://www.imdb.com/title/tt1639109/,tvSeries,7.7,25,2010,"Animation, Action, Comedy, Drama, Fantasy",13048,2010-04-02,,,,
12,tt4508902,2016-03-17,2016-03-17,,One Punch Man: Wanpanman,https://www.imdb.com/title/tt4508902/,tvSeries,8.8,24,2015,"Animation, Action, Comedy, Fantasy, Sci-Fi",133142,2015-10-01,,,,
13,tt1411815,2016-03-17,2016-03-17,,One Outs,https://www.imdb.com/title/tt1411815/,tvSeries,8.3,,2008,"Animation, Drama, Sport",1450,2008-10-07,,,,,,
14,tt3741634,2016-03-17,2016-03-17,,Tokyo Ghoul,https://www.imdb.com/title/tt3741634/,tvMiniSeries,7.8,24,2014,"Animation, Action, Drama, Fantasy, Horror, Thriller",43678,2014-07-03,,,
15,tt2250192,2016-03-17,2016-03-17,,Sword Art Online,https://www.imdb.com/title/tt2250192/,tvSeries,7.6,24,2012,"Animation, Action, Adventure, Fantasy, Romance, Sci-Fi, Thriller",40388,2012-07-07,,
16,tt3398540,2016-03-17,2016-03-17,,Haikyuu!!,https://www.imdb.com/title/tt3398540/,tvSeries,8.7,24,2014,"Animation, Comedy, Drama, Sport",16971,2014-04-05,,,,,
17,tt2942228,2016-03-17,2016-03-17,,Yowamushi pedaru,https://www.imdb.com/title/tt2942228/,tvSeries,7.7,23,2013,"Animation, Comedy, Drama, Sport",707,2013-10-07,,,,,
18,tt2294048,2016-03-17,2016-03-17,,Zetsuen No Tempest,https://www.imdb.com/title/tt2294048/,tvSeries,7.6,25,2012,"Animation, Action, Fantasy, Mystery",1274,2012-10-05,,,,,
